0;0;0;0;land;false;unknown;0
1;226;235;159;land;false;forest;1
2;238;138;240;land;false;forest;1
3;210;156;168;land;false;forest;1
4;192;203;212;land;false;desert;1
5;212;165;127;land;false;forest;1
6;184;119;228;land;false;forest;1
7;243;223;217;land;false;forest;1
8;217;94;250;land;true;forest;1
9;189;226;203;land;false;forest;1
10;223;178;180;land;false;jungle;1
11;206;199;180;land;true;mountain;1
12;144;225;209;land;false;desert;1
13;240;16;252;land;true;forest;1
14;228;161;121;land;false;forest;1
15;108;177;251;land;false;forest;1
16;226;118;193;land;false;jungle;1
17;228;177;193;land;false;desert;1
18;253;51;210;land;false;forest;1
19;122;203;249;land;false;forest;1
20;46;252;234;land;true;forest;1
21;159;236;254;land;true;forest;1
22;229;223;122;land;false;desert;1
23;52;224;235;land;false;desert;1
24;238;251;93;land;false;forest;1
25;140;170;251;land;false;desert;1
26;213;198;204;land;true;jungle;1
27;91;245;193;land;false;desert;1
28;117;191;207;land;false;desert;1
29;179;233;148;land;false;desert;1
30;247;50;251;land;true;forest;1
31;247;225;122;land;true;forest;1
32;208;139;192;land;false;jungle;1
33;242;227;104;land;false;forest;1
34;158;235;115;land;false;desert;1
35;148;145;249;land;false;desert;1
36;160;231;244;land;true;forest;1
37;239;111;211;land;false;forest;1
38;150;248;184;land;false;forest;1
39;125;244;132;land;true;forest;1
40;159;170;226;land;false;forest;1
41;135;132;250;land;false;desert;1
42;155;247;247;land;false;desert;1
43;188;75;254;land;false;forest;1
44;228;216;79;land;false;forest;1
45;229;128;179;land;false;forest;1
46;236;242;66;land;false;forest;1
47;243;129;199;land;false;desert;1
48;215;218;152;land;true;forest;1
49;248;207;231;land;false;desert;1
50;185;254;209;land;false;desert;1
51;246;203;110;land;false;forest;1
52;253;170;194;land;false;desert;1
53;150;236;144;land;false;forest;1
54;67;204;238;land;false;desert;1
55;254;243;92;land;false;forest;1
56;189;198;225;land;true;forest;1
57;235;219;204;land;false;forest;1
58;162;149;238;land;true;forest;1
59;199;85;243;land;false;desert;1
